ID,LEVEL,X1,X2,X3,X4,Y1,Y2,Y3,Y4,Z1,Z2,Z3,Z4,R,G,B,A,Axis
lvlceiling,LEVELZERO,-5,-5,8,8,1,1,1,1,-4,1,1,-4,0.70,0.70,0.70,1,0
lvlfloor,LEVELZERO,-5,-5,8,8,-1,-1,-1,-1,-4,1,1,-4,0.70,0.70,0.70,1,0
room0frntlftwall,LEVELZERO,5,5,5,5,-1,1,1,-1,-4,-4,-2.5,-2.5,0.29,0.29,0.29,1,z
room0frntrghtwall,LEVELZERO,5,5,5,5,-1,1,1,-1,-0.5,-0.5,1,1,0.29,0.29,0.29,1,z
room0backwall,LEVELZERO,-5,-5,-5,-5,-1,1,1,-1,-4,-4,1,1,0.29,0.29,0.29,1,z
room0rghtwall,LEVELZERO,-5,-5,5,5,-1,1,1,-1,1,1,1,1,0.29,0.29,0.29,1,x
room0frnttopwall,LEVELZERO,5,5,5,5,0.5,1,1,0.5,-2.5,-2.5,-0.5,-0.5,0.29,0.29,0.29,1,z
room1lftwall,LEVELZERO,5,5,8,8,-1,1,1,-1,-4,-4,-4,-4,0.29,0.29,0.29,1,x
room1rghtwall,LEVELZERO,5,5,8,8,-1,1,1,-1,1,1,1,1,0.29,0.29,0.29,1,x
room1frntbotwall,LEVELZERO,8,8,8,8,-1,-0.5,-0.5,-1,-4,-4,1,1,0.29,0.29,0.29,1,z
room1frnttopwall,LEVELZERO,8,8,8,8,0.5,1,1,0.5,-4,-4,1,1,0.29,0.29,0.29,1,z
room0lftlftwall,LEVELZERO,-5,-5,-1.5,-1.5,-1,1,1,-1,-4,-4,-4,-4,0.29,0.29,0.29,1,x
room0lftrghtwall,LEVELZERO,1.5,1.5,5,5,-1,1,1,-1,-4,-4,-4,-4,0.29,0.29,0.29,1,x
room0lfttopwall,LEVELZERO,-1.5,-1.5,1.5,1.5,0.70,1,1,0.70,-4,-4,-4,-4,0.29,0.29,0.29,1,x
room0frntmidwall,LEVELZERO,8,8,8,8,0.5,-0.5,-0.5,0.5,-4,-4,1,1,0.12,0.56,1,0.60,z
lvl1Floor,LEVELONE,30,30,-30,-30,-1,-1,-1,-1,40,-5,-5,40,0.70,0.70,0.70,1,0
lv1HangarCeiling,LEVELONE,15,15,-15,-15,5,5,5,5,5,-5,-5,5,0.70,0.70,0.70,1,0
lv1HangerFrntLeftWall,LEVELONE,15,15,1,1,-1,5,5,-1,5,5,5,5,0.80,0,0,1,x
lv1HangerFrntRghtWall,LEVELONE,-1,-1,-15,-15,-1,5,5,-1,5,5,5,5,0.80,0,0,1,x
lvl1HangerFrntTopWall,LEVELONE,1,1,-1,-1,1,5,5,1,5,5,5,5,0.80,0,0,1,x
lvl1HangerRghtWall,LEVELONE,-15,-15,-15,-15,-1,5,5,-1,5,5,-5,-5,0.80,0,0,1,z
lvl1HangerLeftWall,LEVELONE,15,15,15,15,-1,5,5,-1,5,5,-5,-5,0.80,0,0,1,z
lvl1HangerBckWall,LEVELONE,15,15,-15,-15,-1,5,5,-1,-5,-5,-5,-5,0.12,0.56,1,0.402,x
lvl1HallLftWall1,LEVELONE,3,3,3,3,-1,1,1,-1,5,5,11,11,0.80,0,0,1,z
lvl1HallRghtWall1,LEVELONE,-3,-3,-3,-3,-1,1,1,-1,5,5,8,8,0.80,0,0,1,z
lvl1HallLftWall2,LEVELONE,3,3,3,3,-1,1,1,-1,13,13,19,19,0.80,0,0,1,z
lvl1HallRghtWall2,LEVELONE,-3,-3,-3,-3,-1,1,1,-1,10,10,15,15,0.80,0,0,1,z
lvl1HallRghtWall3,LEVELONE,-3,-3,-3,-3,-1,1,1,-1,17,17,19,19,0.80,0,0,1,z
lvl1HallCeiling,LEVELONE,15,15,-15,-15,1,1,1,1,5,29,29,5,0.70,0.70,0.70,1,0
lvl1HallLftEnd,LEVELONE,7.5,7.5,1,1,-1,1,1,-1,19,19,19,19,0.80,0,0,1,x
lvl1HallRghtEnd,LEVELONE,-3,-3,-1,-1,-1,1,1,-1,19,19,19,19,0.80,0,0,1,x
lvl1LftRoom1LeftWall,LEVELONE,-3,-3,-15,-15,-1,1,1,-1,19,19,19,19,0.80,0,0,1,x
lvl1LftRoom1RghtWall,LEVELONE,-3,-3,-15,-15,-1,1,1,-1,12.5,12.5,12.5,12.5,0.80,0,0,1,x
lvl1LftRoomsBckWall,LEVELONE,-15,-15,-15,-15,-1,1,1,-1,19,19,5,5,0.80,0,0,1,z
lvl1Room4LeftWall,LEVELONE,7.5,7.5,7.5,7.5,-1,1,1,-1,19,19,29,29,0.80,0,0,1,z
lvl1Room4RghtWall,LEVELONE,-7.5,-7.5,-7.5,-7.5,-1,1,1,-1,19,19,29,29,0.80,0,0,1,z
lvl1Room3LeftWall,LEVELONE,20,20,20,20,-1,1,1,-1,10,10,-3,-3,0.80,0,0,1,z
lvl1Room3BckWall,LEVELONE,20,20,15,15,-1,1,1,-1,-3,-3,-3,-3,0.80,0,0,1,x
lvl1Room3FrntWall1,LEVELONE,20,20,6,6,-1,1,1,-1,10,10,10,10,0.80,0,0,1,x
lvl1Room3FrntWall2,LEVELONE,4,4,3,3,-1,1,1,-1,10,10,10,10,0.80,0,0,1,x
lvl1Room2LftWall,LEVELONE,7.5,7.5,7.5,7.5,-1,1,1,-1,19,19,10,10,0.80,0,0,1,z
lvl1Room3Ceiling,LEVELONE,20,20,15,15,1,1,1,1,-3,10,10,-3,0.70,0.70,0.70,1,0
lvl1Room4BckWallLft,LEVELONE,7.5,7.5,1,1,-1,1,1,-1,29,29,29,29,0.80,0,0,1,x
lvl1Room4BckWallRght,LEVELONE,-1,-1,-7.5,-7.5,-1,1,1,-1,29,29,29,29,0.80,0,0,1,x
lvl2Room0BckWallLft,LEVELTWO,5,5,1,1,-1,1,1,-1,2,2,2,2,0,0.80,0,1,x
lvl2Room0BckWallRght,LEVELTWO,-5,-5,-1,-1,-1,1,1,-1,2,2,2,2,0,0.80,0,1,x
lvl2Room0LftWallLft,LEVELTWO,-5,-5,-5,-5,-1,1,1,-1,2,2,1,1,0,0.80,0,1,z
lvl2Room0LftWallRght,LEVELTWO,-5,-5,-5,-5,-1,1,1,-1,-1,-1,-2,-2,0,0.80,0,1,z
Lvl2Room0FrtnWall,LEVELTWO,-5,-5,5,5,-1,1,1,-1,-2,-2,-2,-2,0,0.80,0,1,x
Lvl2Room0RghtwallLft,LEVELTWO,5,5,5,5,-1,1,1,-1,-2,-2,-1,-1,0,0.80,0,1,z
Lvl2Room0RghtWallRght,LEVELTWO,5,5,5,5,-1,1,1,-1,1,1,2,2,0,0.80,0,1,z
Lvl2Room0FakeDoor,LEVELTWO,-1,-1,1,1,-1,1,1,-1,2,2,2,2,0.29,0.29,0.29,1,x
Lvl2LftHallBckWall,LEVELTWO,-5,-5,-18,-18,-1,1,1,-1,1,1,1,1,0,0.80,0,1,x
lvl2RghtHallBckWall,LEVELTWO,5,5,18,18,1,-1,-1,1,1,1,1,1,0,0.80,0,1,x
Lvl2LftHallLftWall,LEVELTWO,-18,-18,-18,-18,1,-1,-1,1,1,1,-15,-15,0,0.80,0,1,z
lvl2RghtHallRghtWall,LEVELTWO,18,18,18,18,1,-1,-1,1,1,1,-15,-15,0,0.80,0,1,z
lvl2LftHallFrntWallRght,LEVELTWO,-5,-5,-9,-9,-0.5,0.5,0.5,-0.5,-1,-1,-1,-1,0,0.80,0,1,x
lvl2LftHallLftWall,LEVELTWO,-11,-11,-15,-15,-0.5,0.5,0.5,-0.5,-1,-1,-1,-1,0,0.80,0,1,x
lvl2LftHallTopStrip1,LEVELTWO,-5,-5,-15,-15,1,0.5,0.5,1,-1,-1,-1,-1,0,0.80,0,1,x
lvl2LftHallBotStrip1,LEVELTWO,-5,-5,-15,-15,-0.5,-1,-1,-0.5,-1,-1,-1,-1,0,0.80,0,1,x
lvl2RghtHallFrntWallLft,LEVELTWO,5,5,9,9,-0.5,0.5,0.5,-0.5,-1,-1,-1,-1,0,0.80,0,1,x
lvl2RghtHallFrntWallRght,LEVELTWO,11,11,15,15,-0.5,0.5,0.5,-0.5,-1,-1,-1,-1,0,0.80,0,1,x
lvl2RghtHallTopStrip1,LEVELTWO,5,5,15,15,0.5,1,1,0.5,-1,-1,-1,-1,0,0.80,0,1,x
lvl2RghtHallBotStrip1,LEVELTWO,5,5,15,15,-0.5,-1,-1,-0.5,-1,-1,-1,-1,0,0.80,0,1,x
lvl2LftRoomsRghtWall,LEVELTWO,-5,-5,-5,-5,1,-1,-1,1,-2,-2,-12,-12,0,0.80,0,1,z
lvl2RghtRoomsLftWall,LEVELTWO,5,5,5,5,1,-1,-1,1,-2,-2,-12,-12,0,0.80,0,1,z
lvl2LftHallBckWall2,LEVELTWO,-18,-18,-1,-1,1,-1,-1,1,-15,-15,-15,-15,0,0.80,0,1,x
lvl2RghtHallBckWall2,LEVELTWO,18,18,1,1,1,-1,-1,1,-15,-15,-15,-15,0,0.80,0,1,x
lvl2BckWall,LEVELTWO,-9,-9,9,9,1,-1,-1,1,-12,-12,-12,-12,0,0.80,0,1,x
lvl2LftDividerLft,LEVELTWO,-15,-15,-11,-11,1,-1,-1,1,-5.5,-5.5,-5.5,-5.5,0,0.80,0,1,x
lvl2LftDividerRght,LEVELTWO,-9,-9,-5,-5,1,-1,-1,1,-5.5,-5.5,-5.5,-5.5,0,0.80,0,1,x
lvl2LftDividerTop,LEVELTWO,-11,-11,-9,-9,0.5,1,1,0.5,-5.5,-5.5,-5.5,-5.5,0,0.80,0,1,x
lvl2LftDividerTBot,LEVELTWO,-11,-11,-9,-9,-0.5,-1,-1,-0.5,-5.5,-5.5,-5.5,-5.5,0,0.80,0,1,x
lvl2RghtDividerLft,LEVELTWO,15,15,11,11,1,-1,-1,1,-5.5,-5.5,-5.5,-5.5,0,0.80,0,1,x
lvl2RghtDividerRght,LEVELTWO,9,9,5,5,1,-1,-1,1,-5.5,-5.5,-5.5,-5.5,0,0.80,0,1,x
lvl2RghtDividerTop,LEVELTWO,11,11,9,9,0.5,1,1,0.5,-5.5,-5.5,-5.5,-5.5,0,0.80,0,1,x
lvl2RghtDividerTBot,LEVELTWO,11,11,9,9,-0.5,-1,-1,-0.5,-5.5,-5.5,-5.5,-5.5,0,0.80,0,1,x
lvl2Ceiling,LEVELTWO,-18,-18,18,18,1,1,1,1,2,-20,-20,2,0.70,0.70,0.70,1,0
lvl2Floor,LEVELTWO,-18,-18,18,18,-1,-1,-1,-1,2,-20,-20,2,0.70,0.70,0.70,1,0
lvl2LftInnerWallLft,LEVELTWO,-15,-15,-15,-15,-1,1,1,-1,-1,-1,-2,-2,0,0.80,0,1,z
lvl2LftInnerWallCtr,LEVELTWO,-15,-15,-15,-15,-1,1,1,-1,-4,-4,-8,-8,0,0.80,0,1,z
lvl2LftInnerWalLRght,LEVELTWO,-15,-15,-15,-15,-1,1,1,-1,-10,-10,-12,-12,0,0.80,0,1,z
lvl2RghtInnerWallLft,LEVELTWO,15,15,15,15,-1,1,1,-1,-1,-1,-2,-2,0,0.80,0,1,z
lvl2RghtInnerWallCtr,LEVELTWO,15,15,15,15,-1,1,1,-1,-4,-4,-8,-8,0,0.80,0,1,z
lvl2RghtInnerWalLRght,LEVELTWO,15,15,15,15,-1,1,1,-1,-10,-10,-12,-12,0,0.80,0,1,z
lvl2EndHallLft,LEVELTWO,-1,-1,-1,-1,-1,1,1,-1,-15,-15,-20,-20,0,0.80,0,1,z
lvl2EndHallRght,LEVELTWO,1,1,1,1,-1,1,1,-1,-15,-15,-20,-20,0,0.80,0,1,z
lvl3StrtWallLft,LEVELTHREE,-1,-1,-13,-13,-1,1,1,-1,1,1,1,1,0,0,0.80,1,x
lvl3StrtWallRght,LEVELTHREE,1,1,13,13,-1,1,1,-1,1,1,1,1,0,0,0.80,1,x
lvl3Room0RghtWall,LEVELTHREE,-8,-8,-8,-8,-1,1,1,-1,1,1,-1,-1,0,0,0.80,1,z
lvl3Room0/1RghtWall,LEVELTHREE,-8,-8,-8,-8,-1,1,1,-1,-3,-3,-7,-7,0,0,0.80,1,z
lvl3Room1/2RghtWall,LEVELTHREE,-8,-8,-8,-8,-1,1,1,-1,-9,-9,-13,-13,0,0,0.80,1,z
lvl3Room2/3RghtWall,LEVELTHREE,-8,-8,-8,-8,-1,1,1,-1,-15,-15,-19,-19,0,0,0.80,1,z
lvl3Room3RghtWall,LEVELTHREE,-8,-8,-8,-8,-1,1,1,-1,-21,-21,-23,-23,0,0,0.80,1,z
lvl3Room7LftWall,LEVELTHREE,8,8,8,8,-1,1,1,-1,1,1,-1,-1,0,0,0.80,1,z
lvl3Room7/6LftWall,LEVELTHREE,8,8,8,8,-1,1,1,-1,-3,-3,-7,-7,0,0,0.80,1,z
lvl3Room6/5LftWall,LEVELTHREE,8,8,8,8,-1,1,1,-1,-9,-9,-13,-13,0,0,0.80,1,z
lvl3Room5/4LftWall,LEVELTHREE,8,8,8,8,-1,1,1,-1,-15,-15,-19,-19,0,0,0.80,1,z
lvl3Room4LftWall,LEVELTHREE,8,8,8,8,-1,1,1,-1,-21,-21,-23,-23,0,0,0.80,1,z
lvl3Ceiling,LEVELTHREE,-13,-13,13,13,1,1,1,1,1,-23,-23,1,0.70,0.70,0.70,1,0
lvl3Floor,LEVELTHREE,-13,-13,13,13,-1,-1,-1,-1,1,-23,-23,1,0.70,0.70,0.70,1,0
lvl3Room0/1Divid,LEVELTHREE,-13,-13,-8,-8,-1,1,1,-1,-5,-5,-5,-5,0,0,0.80,1,x
lvl3Room1/2Divid,LEVELTHREE,-13,-13,-8,-8,-1,1,1,-1,-11,-11,-11,-11,0,0,0.80,1,x
lvl3Room2/3Divid,LEVELTHREE,-13,-13,-8,-8,-1,1,1,-1,-17,-17,-17,-17,0,0,0.80,1,x
lvl3Room7/6Divid,LEVELTHREE,13,13,8,8,-1,1,1,-1,-5,-5,-5,-5,0,0,0.80,1,x
lvl3Room6/5Divid,LEVELTHREE,13,13,8,8,-1,1,1,-1,-11,-11,-11,-11,0,0,0.80,1,x
lvl3Room5/4Divid,LEVELTHREE,13,13,8,8,-1,1,1,-1,-17,-17,-17,-17,0,0,0.80,1,x
lvl3FrntWall,LEVELTHREE,-13,-13,13,13,-1,1,1,-1,-23,-23,-23,-23,0,0,0.80,1,x
lvl3InnerLftWall,LEVELTHREE,-3,-3,-3,-3,-1,1,1,-1,-2,-2,-20,-20,0,0,0.80,1,z
lvl3InnerRghtWall,LEVELTHREE,3,3,3,3,-1,1,1,-1,-2,-2,-20,-20,0,0,0.80,1,z
lvl3Room0LftWall,LEVELTHREE,-13,-13,-13,-13,-1,1,1,-1,1,1,-1,-1,0,0,0.80,1,z
lvl3Room0/1LftWall,LEVELTHREE,-13,-13,-13,-13,-1,1,1,-1,-3,-3,-7,-7,0,0,0.80,1,z
lvl3Room1/2LftWall,LEVELTHREE,-13,-13,-13,-13,-1,1,1,-1,-9,-9,-13,-13,0,0,0.80,1,z
lvl3Room2/3LftWall,LEVELTHREE,-13,-13,-13,-13,-1,1,1,-1,-15,-15,-19,-19,0,0,0.80,1,z
lvl3Room3LftWall,LEVELTHREE,-13,-13,-13,-13,-1,1,1,-1,-21,-21,-23,-23,0,0,0.80,1,z
lvl3Room7RghtWall,LEVELTHREE,13,13,13,13,-1,1,1,-1,1,1,-1,-1,0,0,0.80,1,z
lvl3Room7/6RghtWall,LEVELTHREE,13,13,13,13,-1,1,1,-1,-3,-3,-7,-7,0,0,0.80,1,z
lvl3Room6/5RghtWall,LEVELTHREE,13,13,13,13,-1,1,1,-1,-9,-9,-13,-13,0,0,0.80,1,z
lvl3Room5/4RghtWall,LEVELTHREE,13,13,13,13,-1,1,1,-1,-15,-15,-19,-19,0,0,0.80,1,z
lvl3Room4RghtWall,LEVELTHREE,13,13,13,13,-1,1,1,-1,-21,-21,-23,-23,0,0,0.80,1,z
lvl3Entrance,LEVELTHREE,-1,-1,1,1,-1,1,1,-1,1,1,1,1,0.29,0.29,0.29,1,x
lvl3Room0FakeDoor,LEVELTHREE,-13,-13,-13,-13,-1,-1,-1,-1,-1,-1,-3,-3,0.5,0.5,0.5,1,z
lvl3Room1FakeDoor,LEVELTHREE,-13,-13,-13,-13,-1,1,1,-1,-7,-7,-9,-9,0.5,0.5,0.5,1,z
lvl3Room2FakeDoor,LEVELTHREE,-13,-13,-13,-13,-1,1,1,-1,-13,-13,-15,-15,0.5,0.5,0.5,1,z
lvl3Room3FakeDoor,LEVELTHREE,-13,-13,-13,-13,-1,1,1,-1,-19,-19,-21,-21,0.5,0.5,0.5,1,z
lvl3Room7FakeDoor,LEVELTHREE,13,13,13,13,-1,1,1,-1,-1,-1,-3,-3,0.5,0.5,0.5,1,z
lvl3Room6FakeDoor,LEVELTHREE,13,13,13,13,-1,1,1,-1,-7,-7,-9,-9,0.5,0.5,0.5,1,z
lvl3Room5FakeDoor,LEVELTHREE,13,13,13,13,-1,1,1,-1,-13,-13,-15,-15,0.5,0.5,0.5,1,z
lvl3Room4FakeDoor,LEVELTHREE,13,13,13,13,-1,1,1,-1,-19,-19,-21,-21,0.5,0.5,0.5,1,z
lvl3Room8BckWall,LEVELTHREE,-3,-3,3,3,-1,1,1,-1,-12,-12,-12,-12,0,0,0.80,1,x
lvl3Room9BckWall,LEVELTHREE,-3,-3,3,3,-1,1,1,-1,-15,-15,-15,-15,0,0,0.80,1,x
lvl3Room8FrntWallLft,LEVELTHREE,-3,-3,-1,-1,-1,1,1,-1,-2,-2,-2,-2,0,0,0.80,1,x
lvl3Room8FrntWallRght,LEVELTHREE,3,3,1,1,-1,1,1,-1,-2,-2,-2,-2,0,0,0.80,1,x
lvl3Room9FrntWallLft,LEVELTHREE,-3,-3,-1,-1,-1,1,1,-1,-20,-20,-20,-20,0,0,0.80,1,x
lvl3Room9FrntWallRght,LEVELTHREE,3,3,1,1,-1,1,1,-1,-20,-20,-20,-20,0,0,0.80,1,x
lvl4Room0LftWall,LEVELFOUR,-5,-5,-5,-5,-1,1,1,-1,-2,-2,2,2,0.29,0.29,0.29,1,z
lvl4Room0RghtWall,LEVELFOUR,5,5,5,5,-1,1,1,-1,2,2,-2,-2,0.29,0.29,0.29,1,z
lvl4Room0BckLft,LEVELFOUR,-5,-5,-1,-1,-1,1,1,-1,2,2,2,2,0.29,0.29,0.29,1,x
lvl4Room0BckRght,LEVELFOUR,1,1,5,5,-1,1,1,-1,2,2,2,2,0.29,0.29,0.29,1,x
lvl4Room0Ceiling,LEVELFOUR,5,5,-5,-5,1,1,1,1,2,-2,-2,2,0.70,0.70,0.70,1,0
lvl4Room0Floor,LEVELFOUR,5,5,-5,-5,-1,-1,-1,-1,2,-2,-2,2,0.70,0.70,0.70,1,0
lvl4Entrance,LEVELFOUR,-1,-1,1,1,-1,1,1,-1,2,2,2,2,0.5,0.5,0.5,1,x
lvl4Room1LftWall,LEVELFOUR,10,10,10,10,-5,5,5,-5,-2,-2,-12,-12,0.60,0.60,0.60,1,z
lvl4Room1RghtWall,LEVELFOUR,-10,-10,-10,-10,-5,5,5,-5,-2,-2,-12,-12,0.60,0.60,0.60,1,z
lvl4Room1FrntWall,LEVELFOUR,10,10,-10,-10,-5,5,5,-5,-12,-12,-12,-12,0.60,0.60,0.60,1,x
lvl4Room1BckLftWall,LEVELFOUR,-10,-10,-5,-5,-5,5,5,-5,-2,-2,-2,-2,0.60,0.60,0.60,1,x
lvl4Room1BckRghtWall,LEVELFOUR,10,10,5,5,-5,5,5,-5,-2,-2,-2,-2,0.60,0.60,0.60,1,x
lvl4Room1Ceiling,LEVELFOUR,10,10,-10,-10,5,5,5,5,-2,-12,-12,-2,0.70,0.70,0.70,1,0
lvl4Room1Floor,LEVELFOUR,10,10,-10,-10,-5,-5,-5,-5,-2,-12,-12,-2,0.70,0.70,0.70,1,0
lvl4Room0FrntWall,LEVELFOUR,-5,-5,5,5,-1,1,1,-1,-2,-2,-2,-2,0.1,0.1,0.1,0.90,x
lvl2LftBckWindowLft,LEVELTWO,-15,-15,-11,-11,1,-1,-1,1,-12,-12,-12,-12,0,0.80,0,1,x
lvl2BckWindowTop,LEVELTWO,-11,-11,-9,-9,0.5,1,1,0.5,-12,-12,-12,-12,0,0.80,0,1,x
lvl2BckWindowBot,LEVELTWO,-11,-11,-9,-9,-0.5,-1,-1,-0.5,-12,-12,-12,-12,0,0.80,0,1,x
lvl2RghtBckWindowLft,LEVELTWO,15,15,11,11,1,-1,-1,1,-12,-12,-12,-12,0,0.80,0,1,x
lvl2RghtWindowTop,LEVELTWO,11,11,9,9,0.5,1,1,0.5,-12,-12,-12,-12,0,0.80,0,1,x
lvl2RghtWindowBot,LEVELTWO,11,11,9,9,-0.5,-1,-1,-0.5,-12,-12,-12,-12,0,0.80,0,1,x
lvl2lftWindow1,LEVELTWO,-11,-11,-9,-9,-0.5,0.5,0.5,-0.5,-1,-1,-1,-1,0,1,1,0.29,x
lvl2lftWindow2,LEVELTWO,-11,-11,-9,-9,-0.5,0.5,0.5,-0.5,-5.5,-5.5,-5.5,-5.5,0,1,1,0.29,x
lvl2lftWindow3,LEVELTWO,-11,-11,-9,-9,-0.5,0.5,0.5,-0.5,-12,-12,-12,-12,0,1,1,0.29,x
lvl2RghtWindow1,LEVELTWO,11,11,9,9,-0.5,0.5,0.5,-0.5,-1,-1,-1,-1,0,1,1,0.29,x
lvl2RghtWindow2,LEVELTWO,11,11,9,9,-0.5,0.5,0.5,-0.5,-5.5,-5.5,-5.5,-5.5,0,1,1,0.29,x
lvl2RghtWindow3,LEVELTWO,11,11,9,9,-0.5,0.5,0.5,-0.5,-12,-12,-12,-12,0,1,1,0.29,x
